"isrc","song_name","song_duration_ms","is_explicit","spotify_url","apple_music_url"
"USWB12302315","Lose Control","210688","False","https://open.spotify.com/track/17phhZDn6oGtzMe56NuWvj",
"USRC12400299","Whatever She Wants","161342","True","https://open.spotify.com/track/57wp7VFnV8X0pSVnYArGeJ","https://music.apple.com/us/song/whatever-she-wants/1729856953"
"USRC12400216","Saturn","186191","False","https://open.spotify.com/track/1bjeWoagtHmUKputLVyDxQ","https://music.apple.com/us/song/saturn/1732348414"
"GBKPL2205058","End of Beginning","159245","False","https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD",
"QZL382406049","Gata Only","222000","True","https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6",
"USUM72317276","we can't be friends (wait for your love)","228639","False","https://open.spotify.com/track/46kspZSY3aKmwQe7O77fCC","https://music.apple.com/us/song/we-cant-be-friends-wait-for-your-love/1725878242"
"USUM72317269","bye","164927","False","https://open.spotify.com/track/1Rweq7vNjK4kZBbGrmxQsl","https://music.apple.com/us/song/bye/1725877947"
"USUM72317268","the boy is mine","173639","True","https://open.spotify.com/track/0Lmbke3KNVFXtoH2mMSHCw","https://music.apple.com/us/song/the-boy-is-mine/1725878239"
"USUM72317272","eternal sunshine","210200","False","https://open.spotify.com/track/2waUyWiimcCeA8DbJH8BtT","https://music.apple.com/us/song/eternal-sunshine/1725877964"
"USUM72317273","don't wanna break up again","174006","True","https://open.spotify.com/track/0o3ua5ufFK7nfRzbDUNoGA","https://music.apple.com/us/song/dont-wanna-break-up-again/1725877948"
"USUM72317270","intro (end of the world)","92400","True","https://open.spotify.com/track/2o1pb13quMReXZqE7jWsgq","https://music.apple.com/us/song/intro-end-of-the-world/1725877946"
"USUM72317274","supernatural","163381","False","https://open.spotify.com/track/142PiXzA84lmEw2RstFHFa","https://music.apple.com/us/song/supernatural/1725877965"
"USA2P2411822","FRI(END)S","148082","False","https://open.spotify.com/track/0PBTlQ84CBJF0tBnKGmQa6",
"QZSYP2454435","Get It Sexyy","148551","True","https://open.spotify.com/track/2MjXWroB9wlTG2kqv3avfS","https://music.apple.com/us/song/get-it-sexyy/1736033446"
"GBKPL2205058","End of Beginning","159245","False","https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD","https://music.apple.com/us/song/end-of-beginning/1632448108"
"USSM12402041","Like That","267706","True","https://open.spotify.com/track/2tudvzsrR56uom6smgOcSf","https://music.apple.com/us/song/like-that/1737150439"
"USSM12402033","Type Shit","228266","True","https://open.spotify.com/track/28drn6tQo95MRvO0jQEo5C","https://music.apple.com/us/song/type-shit/1737150156"
"USSM12402040","We Don't Trust You","226213","True","https://open.spotify.com/track/1pnDvUuAEd6z8bKEsbAjk1","https://music.apple.com/us/song/we-dont-trust-you/1737150142"
"IEACJ2300335","Too Sweet","251424","False","https://open.spotify.com/track/3HMY0r2BAdpasXMY8rseR0",
